feature,mean_abs_shap
lip_pull,0.054238218278539585
mouth_curl,0.025499435838501158
lip_tight,0.025049042444921028
ear_L,0.022079394311964852
ear_R,0.020008024717231215
MAR,0.019948083403993847
nose_lip,0.016251034515964925
lip_droop,0.015974262778598324
brow_raise_L,0.010782063930977272
brow_raise_R,0.010025201183487029
brightness_mean,0.008896382673668032
inter_brow,0.007255099763088079
brow_eye_L,0.005238928455300685
cheek_L,0.004692998072907902
cheek_R,0.004662270344375891
jaw_open,0.004236019372341908
brow_eye_R,0.004040429319080288
lbp_h00,0.003878420746881207
lbp_h02,0.003454265245198441
hog_h15,0.0034290391110047857
lower_edge_density,0.0030753459481854214
hog_h02,0.002891722299700158
lbp_h04,0.0026784027240591216
lbp_h01,0.0023237750740852108
lbp_h05,0.002304492605741025
hog_h00,0.0021563611709347046
lbp_h03,0.002108539130164508
hog_h03,0.001963683544367561
hog_h01,0.0019577232664122982
hog_h14,0.0016185337123424395
hog_h04,0.0016183693275694739
hog_h09,0.0013989825483010441
hog_h06,0.001379409793414578
hog_h05,0.0013620062720482247
hog_h10,0.001337549597801424
hog_h08,0.0013026430608704914
hog_h11,0.001258525775080982
hog_h07,0.0012451764870581262
hog_h12,0.0012110014418274299
hog_h13,0.0011758120346747956
face_AR,0.0
